Date,Amount,Note
2024-05-24,887,clinic
2024-05-25,646,groceries
2024-05-25,3218,flipkart
2024-05-26,751,restaurant
2024-05-26,2557,myntra
2024-05-27,85,cafe
2024-05-27,387,metro
2024-05-27,1361,apollo
2024-05-28,389,groceries
2024-05-28,415,ola
2024-05-29,203,zomato
2024-05-29,36,auto
2024-05-29,736,clinic
2024-05-30,259,cafe
2024-05-30,275,ola
2024-05-30,1375,lab test
2024-05-31,201,zomato
2024-05-31,56,fuel
2024-06-01,630,swiggy
2024-06-01,1277,dining out
2024-06-01,35000,annual insurance premium - anomaly
2024-06-02,378,zomato
2024-06-02,1090,mall
2024-06-03,20635,monthly rent / EMI
2024-06-03,257,zomato
2024-06-04,450,uber
2024-06-05,157,swiggy
2024-06-05,67,auto
2024-06-06,776,internet bill
2024-06-06,1078,water bill
2024-06-06,57,metro
2024-06-07,214,swiggy
2024-06-07,318,fuel
2024-06-07,1136,lab test
2024-06-08,892,electricity bill
2024-06-08,418,zomato
2024-06-08,1800,spotify
2024-06-09,1228,gas bill
2024-06-09,373,groceries
2024-06-09,3337,mall
2024-06-10,389,zomato
2024-06-10,157,uber
2024-06-11,170,cafe
2024-06-11,243,auto
2024-06-12,151,restaurant
2024-06-12,346,metro
2024-06-13,175,swiggy
2024-06-14,87,swiggy
2024-06-14,256,fuel
2024-06-15,844,zomato
2024-06-16,593,swiggy
2024-06-16,848,dining out
2024-06-17,125,groceries
2024-06-19,347,uber
2024-06-20,408,uber
2024-06-22,730,swiggy
2024-06-22,340,netflix
2024-06-23,455,groceries
2024-06-24,287,zomato
2024-06-24,138,fuel
2024-06-25,1174,lab test
2024-06-26,276,zomato
2024-06-26,118,auto
2024-06-27,31,ola
2024-06-28,334,ola
2024-06-29,761,swiggy
2024-06-30,903,amazon
2024-06-30,1621,spotify
